web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,
"1582055857-1315","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Helena Keimer","Gute, aber kleine Mängel","10. Juli 2019","insgesamt zufrieden, aber der Akku könnte besser sein und der eingebaute Timer ist unpraktisch, da er nach allen 30 sec für ca 4 sec aufhört.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=critical&pageNumber=11&reviewerType=all_reviews","null"
"1582055896-1448","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Gast","Als Wegwerfzahnbürste konzipiert.","25. September 2015","Ich nutze seit Jahren Oral-B Zahnbürsten und bin mit der Funktion sehr zufrieden: DIe Zähne strahlen. :)

Was mich extrem nervt ist die Tatsache, dass nach ca. zwei Jahren die Akkuleistung spürbar abnimmt. Natürlich nimmt die Leistung eines Akkus im Laufe der Zeit ab. Das ist nachvollziehbar und wäre kein Problem, wenn man den Akku einfach selbst tauschen könnte. Das ist vom Hersteller verständlicherweise nicht gewollt, weshalb der Akku fest verlötet ist. Ich habe bereits versucht zwei altersschwache Zahnbürsten vorsichtig auseinanderzubauen, um vielleicht doch irgendwie den Akku austauschen zu können. Einmal ist ein hauchdünner Draht sofort beim Öffnen des Gehäuses gerissen und das zweite Mal konnte ich den Akku nicht herauslösen, ohne das Gerät unbrauchbar zu machen. Da ich kein Fan von Wegwerfartikeln bin gibt es nur drei Sterne.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&filterByStar=critical&pageNumber=24&reviewerType=all_reviews","null"
"1582055894-1436","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","L. Bruns","Schon die Dritte","13. September 2019","Tja, was soll man sagen. Die Obsoleszensplanung funktioniert bei diesem Gerät einwandfrei. Die Gewährleistung ist bei jedem Defekt schon verstrichen, es ist aber nicht unnötig viel Zeit vergangen. Ich finde es beeindruckend wie leicht es großen Konzernen heutzutage gemacht wird ihren Gewinn auf Kosten der Verbraucher zu maximieren.
Das erste Gerät hielt genau ein Jahr. Akku defekt. Das zweite hielt dann noch etwas länger. Akku defekt. Und nach ca einem weiteren Jahr war dann die dritte Bürste dieses Typs dran. Aber nicht wegen defektem Akku. Pünktlich um halb 5 an diesem Morgen startete sie automatisch und vibrierte fröhlich vor sich hin, bis sie ausgeschaltet wurde. Nach dem Frühstück musste ich mir aber die Zähne mit einer handelsüblichen Zahnbürste putzen weil ich die Braun im Waschbecken liegend vorfand und sie kein Lebenszeichen mehr von sich gab. Auch ließ sie sich nicht mehr laden. Ergo: Defekt!
Mal wieder...
Jetzt stellt sich mir die Frage: Soll ich nochmal viel Geld ausgeben um ein weiteres Jahr meine Zähne elektrisch putzen zu können und einem skrupellosen Konzern weiter die Management Gehälter bezahlen? Leider kann ich ja auch meine Thesen nicht beweisen. Es handelt sich ja lediglich um Vermutungen dass es eine geplante Obsoloszens gibt. Also was tun?
Genau! Ich versuche mein Glück bei einem anderen Konzern der mich als Kunden noch ernst nimmt. *Sarkasmus* Böse Firma Braun! Ihr habt mich als Kunden verloren! (auch dieser Satz ist von Sarkasmus geprägt)","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=critical&pageNumber=23&reviewerType=all_reviews","null"
"1582055894-1435","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Nach nur 5 Monaten kaputt","9. September 2016","Was für ein S***, das Gerät funktionert nicht mehr.
Rückgabe über AMAZON nicht möglich, da der Hersteller für die Garantie zuständig ist!
Beim Hersteller ""Braun"" gibt es nur eine Hotline, da wird Ihnen bestimmt geholfen!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=critical&pageNumber=23&reviewerType=all_reviews","null"
"1582055857-1317","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","simon m.","Akku schnell leer","21. Juni 2019","Leider geht der Akku sehr schnell leer
Meine alte Zahnbürste hat länger durch gehalten mit dem Akku
Daher leider 2 Sterne Abzug sonst soweit alles top","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=critical&pageNumber=11&reviewerType=all_reviews","null"
"1582055860-1321","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","kate","Nicht zu empfehlen","19. Mai 2018","Leider klappert sie extrem laut, woraufhin wir sie zurück schicken mussten und Ersatz bekommen haben. Aber auch die 2.Zahnbürste zeigte keine Besserung.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=critical&pageNumber=12&reviewerType=all_reviews","null"
"1582055876-1370","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Lyra","Wer hat sich nur ein Loch im Bürstenkopf ausgedacht?","21. November 2015","Um nicht nur einer Marke blind zu vertrauen, wollten mein Mann und ich nach jahrelanger Nutzung von Philips Sonicare nun auch einmal die Konkurrent testen. Leider ist das Putz-Ergebnis bei Oral-B nicht ansatzweise so befriedigend, wie bei der Sonicare. Man hat das Gefühl noch einen Belag auf einigen Zähnen zu haben. Außerdem darf man das Handstück beim Putzen nur oberhalb des Mundes halten. Sobald man das Handstück nämlich nach unten neigt, laufen einem Zahnpasta und Speichel über Hand und Zahnbürste. Echt eklig. Auch der Bürstenkopf ist recht groß. Wenn man einen engen Kiefer hat, kommt man mit diesem Bürstenkopf kaum bis zum letzten Backenzahn, ohne dass es weh tut.

Fazit:
Nach einer Woche in Benutzung haben wir uns nun genug geärgert. Als wir anfingen, lieber wieder mit einer alten nicht elektrischen Zahnbürste zu putzen, landete die Oral-B auf dem Recycling-Hof und wir kehrten zur Philips Sonicare zurück.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=critical&pageNumber=17&reviewerType=all_reviews","null"
"1582055896-1443","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Günther Kastenfrosch","Einfach nur schlecht!","29. Oktober 2018","Die Akkuleistung ist ein Witz! Stehts und ständig hängt das Teil am Netz.
Das nervt nicht nur sondern kostet schließlich auch Geld.
Der ohrenbetäubende Lärm den die Bürste von sich gibt erinnert an eine elektrische heckenschere. Schwer, unhandlich... Man weiß nicht wo man anfangen und aufhören soll bei diesem Gerät!
Kann nur jedem empfehlen sich nach Alternativen umzusehen.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&filterByStar=critical&pageNumber=24&reviewerType=all_reviews","null"
"1582055854-1308","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Ingolf Barke","Zahnbürste","19. Dezember 2017","Ich hatte eine Oral B die super war aber altersbedingt getauscht werden musste. Der Preis dieser Zahnbürste ist super. Wenn man Morgens im Halbschlaf ins Bad geht und die Zahnbürste anmacht ist man sehr schnell Wach. Sie erledigt ihre Arbeit gut aber zu laut.
Ich würde sie nicht noch mal kaufen weil es nervt .","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=critical&pageNumber=10&reviewerType=all_reviews","null"
"1582055829-1228","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Stefanie Schnorr","Akku kaputt","17. September 2018","Nach reichlich 2 Jahren funktioniert die Zahnbürste nicht mehr. Der Akku hält nicht mal mehr, um sich einmal die Zähne zu putzen. Rausgeschmissenes Geld, wie ich finde!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=critical&pageNumber=2&reviewerType=all_reviews","null"
"1582055879-1388","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Deniz Coskun","So eine Zahnbürste kriegt man auch in jedem Supermarkt","13. Dezember 2017","ich habe diese Zahnbürste bestellt, weil meine kaput ging und ich keine Zeit hatte großartig zu suchen. Allerdings hat diese Zahnbürste nur einen zwei minute timer, man kann keine anderen Intervalle wählen ohne den Putzrythmus verschnellern oder verlangsamen, was mir persönlich fehlt. So eine klassische Zahnbürste kriegt man auch schon in Drogeriemärkten oder Supermärkten für 10-15 €, würde ich daher nicht nochmal kaufen! Also wer wert darauf legt, die schnelligkeit einstellen zu können sollte sich nach einem anderen Produkt umschauen.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=critical&pageNumber=18&reviewerType=all_reviews","null"
"1582055863-1338","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Rahis Acar","Enttäuscht","30. Oktober 2019","Ich hätte mal lieber etwas mehr investieren sollen und eine bessere kaufen soll.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=critical&pageNumber=13&reviewerType=all_reviews","null"
"1582055882-1397","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","McFly","Nächste Mal wieder ein teureres Exemplar","26. April 2017","Funktionalität an sich ist gegeben, aber mir fehlt die Druckkontrolle meiner alten Zahnbürste. Und für empfindliche Zähne fehlt eine Sensitivfunktion. Aber allemal besser als viele ""No-Name-Produkte"".","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=critical&pageNumber=19&reviewerType=all_reviews","null"
"1582055866-1343","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Wegwerfartikel???","2. Juni 2019","Akku schon nach einem Jahr defekt. Wäre kein großes Problem, wenn man den Akku einfach wechseln könnte. Dies ist allerdings nicht möglich.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=critical&pageNumber=14&reviewerType=all_reviews","null"
"1582055829-1221","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Stefanie R.","Funktioniert perfekt aber nur kurzzeitig","3. September 2018","Habe diese Zahnbürste das 1. Mal im September 2017 gekauft, zu Beginn funktionierte die Zahnbürste perfekt und ich war zufrieden damit, nur dann im Mai 2018 begann die voll aufgeladene Zahnbürste zu stottern und gab kurz darauf komplett den Geist auf. Dank Amazon war eine Rückgabe komplett problemlos und  kurze Zeit später bekam ich das Ersatzgerät. Jetzt 4 Monate später habe ich wieder das gleiche Problem mit der Zahnbürste.
Jetzt werde ich ein anderes Modell von Oral-B probieren und hoffe auf mehr Glück damit.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=critical&pageNumber=2&reviewerType=all_reviews","null"
