web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1582056440-2664","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","TBL","Passt perfekt","15. Oktober 2017","Ich trage privat Größe L, sodass ich auch dieses Funktionsshirt in L bestellt habe. Ich bin tatsächlich begeistert wie gut es sitzt. Die Länge ist perfekt. Es liegt am Körper an, jedoch nicht so Arjen Robben mäßig. Man hat viel Bewegungsfreiheit, ohne dass das Shirt schlabbert.
Die Qualität ist wie von Nike gewohnt sehr gut und die Verarbeitung sauber. Hier und da steht minimal eine Naht raus, die man aber auch schnell mit der Nagelschere weggeschnitten hat. Hier macht man nichts falsch!

Ich hoffe, dass ich Ihre Kaufentscheidung etwas erleichtern konnte.","5,0 von 5 Sternen","",""
"1582056454-2719","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Luca O.","Nike Trikot weiß","21. November 2017","Was soll ich sagen. Das war dann wohl die Nummer 2! :) Bereits eins bestellt und jetzt das zweite.
Wie immer sitzt und passt und Qualität 1A. Schweißflecken sieht man ebenfalls nicht durch. Super Shirt.
Empfehle ich jedem.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1582056474-2731","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Albert Ramthun","Qualität zum guten Preis","16. Juni 2019","Die Qualität ist super, joggen macht damit viel Spaß und es ist auch leicht zulassen. Ich gebe zu, dass ich etwas faul bin und so vieles in den Trockner stecke, das hält das Shirt bisher sehr gut aus.
Die Größe und Passform war echt gut, nicht zu eng und nicht zu weit.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1582056445-2685","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Helllboy","Perfekt fürs Training!","3. März 2019","Ich trage dieses Shirt beim Fitnesstraining. Ich selber bin 1,78m groß und wiege 76kg. Mir passt Größe M perfekt, oben rum sitzt es sehr körperbetont und nach unten ist der Schnitt etwas lockerer und länger. So rutscht das T-shirt nicht hoch wenn man Seitheben oder Klimmzüge macht. Die Qualität ist in Ordnung, auch nach etlichen Wäschen ist der Schnitt wie am Anfang. Zudem trocknet Schweiß sehr schnell und ist nicht sichtbar auf dem T-shirt.
Preis/Leistung stimmt hier auch, top!","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1582056448-2696","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Boehni","Mmhhh...","10. März 2019","Ich hatte mir von 3 Shirts bestellt. Ich habe schon eins und bin sehr zu frieden gewesen. Die beiden schwarzen waren wie gewohnt klasse. Jedoch muss ich sagen, dass das blaue irgendwie gar nicht passte. Es war das selbe Shirt, nur in Blau, aber gepasst hat gar nix. Es war viel enger und vom Stoff her fühlte es sich auch ein bisschen anders an. Aber gut, vielleicht ein blödes erwischt. Ich bleibe beim schwarzen.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1582056440-2661","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jan","Produktfälschungen?","13. Februar 2019","Ich hatte zwei Shirts bestellt und fand sie ganz ok, also habe ich ein halbes Jahr später zusätzliche Shirts bestellt.

Bei der Nachbestellung (Schwarz, Dunkel/Hellblau, Rot und Weiß von unterschiedlichen Händlern inklusive Amazon) haben die Shirts verschiedene Schnitte und Stile. Obwohl ich nur die Farbe gewechselt und auf Bestellen gedrückt habe.

Mal mit Authentication Sticker, mal ohne. Mal ist der Kragen so, mal so.
Die Farben sind ok, leider zerreißen die Fäden bereits beim dritten bis vierten Waschen, konsistent in allen Shirts der Nachbestellung.

Es sieht grässlich aus und der Stoff transportiert auch nicht so gut wie bei den ersten Shirts, sondern pappt nur nass. Nicht zu vergleichen mit den vormals bestellten.

Die echten waren völlig ok. Das was hier gerade verschickt wird (Q1 2019), würde ich nicht mehr bestellen.","1,0 von 5 Sternen","",""
"1582056451-2706","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Magd A.","Wie abgebildet gut","15. Januar 2020","Das Shirt kam wie abgebildet bei mir an und auch nach längerem Gebrauch, kann ich keine Mängel feststellen. Das Markenzeichen ist an der richtigen Stelle angebracht, auch die Naht ist gut verarbeitet und es sind keine losen Fäden dran. Das Tragegefühl ist sehr angenehm und kratzt nicht.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1582056454-2713","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Rob","looks good, good fit and great quality","23. Dezember 2018","Bought this for the gym. It looks good, size is great and it does what its needs to do ;) . One downside - if it is - but the Nike logo is kinda big. Like you are screaming I'm wearing Nike! Yeah. If you like that, this is your shirt ;). I preferred little smaller logo though but well - its what it is.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1582056451-2710","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Gilbert","Qualität ok, passt, riecht nicht, günstig.","4. Juni 2018","Passt mir (Größe L bei 182 cm und über 80 kg mit leichtem Bauch),  aber das gildet nicht. Sehr angenehm und wertig, auch nach Waschen, bisher das überzeugendste Laufhemd für mich in dieser Preisklasse. Zieh es auch zum Radeln an.  Kann ich mehrmals tragen, weil es irgendwie nicht so riecht. Die Farbe (blau) bleibt auch nach der Waschmaschine leuchtend (ist nicht wichtig, aber gefällt). Kauf ich wieder.","4,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1582056440-2668","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Andrea I.","Angenehmes Shirt für intensiven Sport","8. Oktober 2018","Das Shirt fällt größengerecht aus und hat einen sehr angenehmen Stoff. Manchmal schwitzt man ja in Sport- Trikots stärker, das ist dann oftmals bei intensivem Training/Sport unangenehm. Das ist jedoch hier nicht der Fall. Das Hemd ist schön dünn, leicht und luftig. Die Haut bleibt trocken, nichts staut sich. In der Farbe weiß ist es etwas durchsichtig, aber wirklich nur sehr leicht, denke das ist bei den meisten Shirts der Fall und stört nicht weiter. Der Schnitt ist figurgünstig und körpernah, jedoch nicht eng und auch nicht zu lang oder zu  kurz. Nike- Artikel sind ja manchmal zu großzügig geschnitten, aber das ist hier nicht der Fall. Insgesamt ist es sehr angenehmes Shirt beim täglichen Fitness-Training im Studio. Mein Mann ist so begeistert, dass ich es mehrmals bestellen musste.","5,0 von 5 Sternen","",""
"1582056451-2704","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","W4LK3R","Nicht nur als Fußballtrikot geeignet","5. Oktober 2019","Auf der Suche nach einem leichten Shirt für den Sport entdeckte ich dieses Modell von Nike und bestellte es, wenn auch zunächst etwas skeptisch. Nach dem Anprobieren waren die Zweifel dann jedoch weg, das Shirt hat eine gute Länge, sitzt weder zu eng noch zu breit und ist in Größe S sehr gut für schlanke Personen geeignet.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1582056440-2662","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Daniel ❤️😎✌🏽","Schönes Shirt zum 1a Preis 👍🏼","30. Oktober 2018","►PRO:
✅ Preis/Leistung stimmig
✅ gute Passform
✅ angenehmer Tragekomfort
✅ dezentes und zeitloses Design

►CONTRA:
❌ Fasern lösen sich teils leicht

►FAZIT:
Ein Shirt von Nike zum fairen Preis. Bin damit sehr zufrieden. Wie auf einem Bild von mir zu erkennen ist, haben sich ein paar Fasern des Syntetikmaterials gelöst. Ich kann jetzt im Nachhinein nicht beurteilen, ob dies durch Eigenverschulden geschah oder ob das Material hier einfach zu empfindlich ist. Mir persönlich macht es nichts aus, da ich das Shirt im Sport sowieso strapaziere. Ich würde das T-Shirt auf jedenfall nochmals kaufen.

►ANMERKUNG:
Um möglichst hilfreiche Rezensionen für alle Endverbraucher schaffen zu können, bewerte ich Produkte stets erst nach längerem Gebrauch und ausführlichen Tests. Ich selbst empfinde solche Bewertungen als aussagekräftiger und hilfreicher. Mängel sind anfänglich oftmals nicht gleich ersichtlich.

Gehaltvolle Rezensionen und Produkttests erarbeite ich mit großer Leidenschaft und gebe dabei stets meine ehrliche und unverfälschte Meinung wieder. Ich freue mich einfach, wenn man fürs Geld das erhält wofür man bezahlt hat und nicht ""über den Tisch gezogen wird"".
Vielen Dank 🥰
Mit freundlichen Grüßen
Daniel","5,0 von 5 Sternen","",""
"1582056454-2714","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","RegionalerBewerter","Dünn aber top","15. März 2019","Dieses Nike T-Shirt gehört wohl zu den relativ dünnen dieses Herstellers, fühlt sich aber auf der Haut super an. Die knallige Farbe ich jetzt auch nach zwei Wäschen immer noch unverändert gelieben, was auch für die Passform gilt. Das Shirt war hier super günstig (50% unter Ladenpreis). Da konnte man einfach nichts falsch machen.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1582056451-2701","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Müller","Für jeden Sportler zu Empfehlen","28. Januar 2019","Das Hemd hat eine super Qualität. Es lässt sich sehr angenehm tragen und trocknet, bei intensiver Bewegung und damit einhergehendem Schwitzen, in kürzester Zeit, sodass man im Fitnessstudio gut an geraten mit Rückenlehne ohne unangenehmes Gefühles eines nassen Lappens im Rücken trainieren kann.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1582056451-2702","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","leonardo_8090","Passt Peferkt","25. Februar 2018","Preis/Leistung ist hier Top.
Sitzt sehr gut (True to Size). Ganz schlicht. Ideal für den Schulsport oder für das Fitnessstudio.
Qualität ist gut.

5 Sterne von mir!","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1582056457-2729","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Architekt","Unprofessionelle Ware","2. Dezember 2018","Idiotischer Schnitt: Lang und gerade. Selbst ein Mann hat eine Taille und einen Hintern, das Shirt sitzt auf und wirft komische Falten. Gute Shirts folgen ein wenig der Figur, dieses nicht. Ein Rückschritt.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1582056445-2689","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Michael","Für den Preis top","30. September 2019","Habe es in L bestellt. Bin 178 und wiege 80 KG. Könnte ein bisschen größer sein an der Brust etc. aber bin momentan etwas wohl genährt könnte man sagen. Sonst passt das Shirt super von der Länge. Habe es zweimal gewaschen und schaut immer noch top aus. Das Shirt kann man im Prinzip zu jeder Sportart anziehen, da es eng anliegt. Würde aber immer eine Nummer größer bestellen.","4,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1582056440-2666","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Frank Huster","Googlet erst nach dem Farbton ...","8. Februar 2018","Die Farbe in der Abbildung entsprach nicht dem Original. Das war eher Baby blau. Daher 1 Punkt Abzug. Der Schnitt ist ziemlich geradlinig und eher ungeeignet für eine athletische Optik. Aber das ist ja Geschmackssache. Ich habs lieber etwas taillierter. Sonst qualitativ gewohnte Nike Qualität.","4,0 von 5 Sternen","",""
"1582056457-2722","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Consumer","Solides Sportshirt","28. Mai 2018","Ich habe bereits ein T-Shirt im M in Gebrauch. Da spannt etwas um den Oberkörper, gerade beim Kraft-Training.
Ansonsten sitz es recht straff.
Dieses hier in Größe L ist deutlich größer und vor allem länger. Am Oberkörper sitzt es luftiger als die M, aber am Bauch und in der Länge hat es eindeutig zu viel Stoff. Wir sind doch Sportler, oder...
Bin 1,85m und wiege 80,0kg.
Der Schweiß wird recht gut abgeleitet.","4,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1582056445-2688","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Rio","Fabelhaft!","24. Januar 2019","Das Shirt erfüllt genau das, was man erwartet! Das Shirt müffelt nicht unangenehm, sitzt gut am Körper und trocknet richtig schnell! Beim Waschen hat es seine Größe behalten... jaaa, auch nach zweimal waschen bislang ;P Obwohl ich ja ein Fan einer Konkurrenzfirma bin, bin ich diesem Fall sehr glücklich, das Trainingsshirt von Nike bestellt zu haben, und werde mir noch ein weiteres besorgen, vielleicht in einer auffälligeren Farbe als Schwarz!","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1582056451-2707","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Klaus-Dieter Busch","Benutzter Rückläufer- sofort wieder verkauft?!","5. Oktober 2018","Diese Trikots sind eigentlich Klasse, ich habe mehrere davon. Dieses Trikot aber war offensichtlich schon einmal benutzt worden. Es roch ordentlich nach altem Schweiß. Hier wurde vermutlich eine Retoure an einen neuen Käufer verschickt, ohne die Ware zu prüfen. - das gehr garnicht.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
